Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0049353145677922,-0.0173908043079384,0.042668507758924,0,0,0,9.11525644204073,0.0662797601616749,8.82781584157839E-05,-3.8514440935953E-07,0.0467572894033259,-4.73012423153271E-06,0.103690871513037,0,0,0,0,0,0,package://stee_new/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://stee_new/meshes/base_link.STL,,3508减速机装配体ereal-1;3508减速机装配体ereal-3;3508减速机装配体ereal-4;3508减速机装配体ereal-5;抬升驱动^AAA总装-1;整车框架^AAA总装-1/底盘原点-1;整车框架^AAA总装-1/碳纤维底板-1;整车框架^AAA总装-1/15×15铝管长600mm-1;整车框架^AAA总装-1/底盘框架圆角-1;整车框架^AAA总装-1/舵轮外围小铝管-1;整车框架^AAA总装-1/舵轮外围小铝管-2;整车框架^AAA总装-1/底盘框架圆角-2;整车框架^AAA总装-1/底盘支架(中间横架-1;整车框架^AAA总装-1/底盘支架(中间横架-2;整车框架^AAA总装-1/15×15铝管长600mm-2;整车框架^AAA总装-1/舵轮外围小铝管-3;整车框架^AAA总装-1/底盘框架圆角-3;整车框架^AAA总装-1/底盘框架圆角-4;整车框架^AAA总装-1/15×15铝管长160mm-2;整车框架^AAA总装-1/机械臂架高铝管-1;整车框架^AAA总装-1/机械臂架高铝管-2;整车框架^AAA总装-1/机械臂架高铝管(后-1;整车框架^AAA总装-1/15×15铝管长150mm-1;整车框架^AAA总装-1/舵轮外围小铝管-4;整车框架^AAA总装-1/抬升架高铝管-9;整车框架^AAA总装-1/抬升架高铝管-13;整车框架^AAA总装-1/抬升架高铝管-14;整车框架^AAA总装-1/抬升架高铝管-15;整车框架^AAA总装-1/抬升架高横铝管-3;整车框架^AAA总装-1/抬升架高横铝管-4;整车框架^AAA总装-1/抬升架高横铝管2-3;整车框架^AAA总装-1/抬升架高横铝管2-4;整车框架^AAA总装-1/机械臂架高铝管(后-2;整车框架^AAA总装-1/中层支架(中间横架-3;整车框架^AAA总装-1/底盘中间横铝管-1;整车框架^AAA总装-1/中层支架(中间横架-4;整车框架^AAA总装-1/撑杆固定板前-1;整车框架^AAA总装-1/舵轮外围小铝管3-1;整车框架^AAA总装-1/机械臂架^整车框架_AAA总装-1;整车框架^AAA总装-1/前外围15×15铝管-1;整车框架^AAA总装-1/后外围15×15铝管-1;整车框架^AAA总装-1/舵轮外围小铝管2-8;整车框架^AAA总装-1/舵轮外围小铝管3-2;整车框架^AAA总装-1/舵轮外围小铝管2-9;整车框架^AAA总装-1/舵轮外围小铝管2-10;整车框架^AAA总装-1/舵轮外围小铝管3-3;整车框架^AAA总装-1/舵轮外围小铝管2-11;整车框架^AAA总装-1/舵轮外围小铝管3-4;整车框架^AAA总装-1/撑杆固定板后-1;整车框架^AAA总装-1/撑杆固定板后-2;整车框架^AAA总装-1/撑杆辅助固定板前-1;整车框架^AAA总装-1/撑杆辅助固定板-2;整车框架^AAA总装-1/中层铝管-1;整车框架^AAA总装-1/中层架高铝管-1;整车框架^AAA总装-1/中层架高铝管-2;整车框架^AAA总装-1/撑杆辅助固定板-4;整车框架^AAA总装-1/中层铝管-2;整车框架^AAA总装-1/中层架高铝管-3;整车框架^AAA总装-1/中层架高铝管-4;整车框架^AAA总装-1/底盘框架圆角2-1;整车框架^AAA总装-1/底盘框架圆角2-2;整车框架^AAA总装-1/底盘框架圆角2-3;整车框架^AAA总装-1/底盘框架圆角2-4;整车框架^AAA总装-1/外围小铝管-1;整车框架^AAA总装-1/外围小铝管-2;整车框架^AAA总装-1/中层连接板-1;整车框架^AAA总装-1/下层连接板-1;整车框架^AAA总装-1/中层连接板-3;整车框架^AAA总装-1/中层连接板-4;整车框架^AAA总装-1/中层连接板-5;整车框架^AAA总装-1/机械臂云台垫高-2;整车框架^AAA总装-1/15×30侧边连接铝管-1;整车框架^AAA总装-1/15×30侧边连接铝管-2;整车框架^AAA总装-1/下层连接板-3;整车框架^AAA总装-1/15×30侧边连接铝管-3;整车框架^AAA总装-1/前侧固定碳管-1;整车框架^AAA总装-1/8mm碳管夹片-1;整车框架^AAA总装-1/前侧碳夹板固定-1;整车框架^AAA总装-1/8mm碳管夹片-2;整车框架^AAA总装-1/前侧碳夹板固定-2;整车框架^AAA总装-1/前侧小轮子固定板-1;整车框架^AAA总装-1/撑杆辅助固定板前-2;整车框架^AAA总装-1/前侧小轮子固定板-2;整车框架^AAA总装-1/前侧碳夹板固定2-1;整车框架^AAA总装-1/前侧小轮子固定板-4;整车框架^AAA总装-1/前侧碳夹板固定-5;整车框架^AAA总装-1/前侧碳夹板固定-6;整车框架^AAA总装-1/前侧固定碳管-2;整车框架^AAA总装-1/8mm碳管夹片-3;整车框架^AAA总装-1/前侧小轮子固定板-5;整车框架^AAA总装-1/前侧碳夹板固定2-2;整车框架^AAA总装-1/8mm碳管夹片-4;整车框架^AAA总装-1/撑杆固定板前-2;u8直驱舵轮-1/舵轮原点-1;u8直驱舵轮-1/u8垫板-1;u8直驱舵轮-1/电机轮子垫板-1;u8直驱舵轮-1/Tmotor U8 Lite L KV110-1;u8直驱舵轮-1/KA0XP0系列薄壁轴承-1;u8直驱舵轮-1/外圈cnc-1;u8直驱舵轮-1/航向内齿固定框-1;u8直驱舵轮-1/舵轮底板-1;u8直驱舵轮-1/M2006-1;u8直驱舵轮-1/舵轮大齿盘-1;u8直驱舵轮-1/舵轮小齿-3;u8直驱舵轮-1/舵轮外延伸板-1;u8直驱舵轮-1/舵轮2006连接板-1;u8直驱舵轮-1/内8外12法兰轴承-1;u8直驱舵轮-1/舵轮转向轴承连接-1;u8直驱舵轮-1/舵轮转向电机连接-1;u8直驱舵轮-1/舵轮轮子轴承连接-1;u8直驱舵轮-1/内15外24法兰轴承-1;u8直驱舵轮-5/舵轮原点-1;u8直驱舵轮-5/u8垫板-1;u8直驱舵轮-5/电机轮子垫板-1;u8直驱舵轮-5/Tmotor U8 Lite L KV110-1;u8直驱舵轮-5/KA0XP0系列薄壁轴承-1;u8直驱舵轮-5/外圈cnc-1;u8直驱舵轮-5/航向内齿固定框-1;u8直驱舵轮-5/舵轮底板-1;u8直驱舵轮-5/M2006-1;u8直驱舵轮-5/舵轮大齿盘-1;u8直驱舵轮-5/舵轮小齿-3;u8直驱舵轮-5/舵轮外延伸板-1;u8直驱舵轮-5/舵轮2006连接板-1;u8直驱舵轮-5/内8外12法兰轴承-1;u8直驱舵轮-5/舵轮轮子轴承连接-1;u8直驱舵轮-5/内15外24法兰轴承-1;u8直驱舵轮-5/舵轮转向轴承连接-1;u8直驱舵轮-5/舵轮转向电机连接-1;u8直驱舵轮-3/舵轮原点-1;u8直驱舵轮-3/u8垫板-1;u8直驱舵轮-3/电机轮子垫板-1;u8直驱舵轮-3/Tmotor U8 Lite L KV110-1;u8直驱舵轮-3/KA0XP0系列薄壁轴承-1;u8直驱舵轮-3/外圈cnc-1;u8直驱舵轮-3/航向内齿固定框-1;u8直驱舵轮-3/舵轮底板-1;u8直驱舵轮-3/M2006-1;u8直驱舵轮-3/舵轮大齿盘-1;u8直驱舵轮-3/舵轮小齿-3;u8直驱舵轮-3/舵轮外延伸板-1;u8直驱舵轮-3/舵轮2006连接板-1;u8直驱舵轮-3/内8外12法兰轴承-1;u8直驱舵轮-3/舵轮转向轴承连接-1;u8直驱舵轮-3/舵轮转向电机连接-1;u8直驱舵轮-3/舵轮轮子轴承连接-1;u8直驱舵轮-3/内15外24法兰轴承-1;u8直驱舵轮-4/舵轮原点-1;u8直驱舵轮-4/u8垫板-1;u8直驱舵轮-4/电机轮子垫板-1;u8直驱舵轮-4/Tmotor U8 Lite L KV110-1;u8直驱舵轮-4/KA0XP0系列薄壁轴承-1;u8直驱舵轮-4/外圈cnc-1;u8直驱舵轮-4/航向内齿固定框-1;u8直驱舵轮-4/舵轮底板-1;u8直驱舵轮-4/M2006-1;u8直驱舵轮-4/舵轮大齿盘-1;u8直驱舵轮-4/舵轮小齿-3;u8直驱舵轮-4/舵轮外延伸板-1;u8直驱舵轮-4/舵轮2006连接板-1;u8直驱舵轮-4/内8外12法兰轴承-1;u8直驱舵轮-4/舵轮转向轴承连接-1;u8直驱舵轮-4/舵轮转向电机连接-1;u8直驱舵轮-4/舵轮轮子轴承连接-1;u8直驱舵轮-4/内15外24法兰轴承-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L_F_wheel_Link,-0.0031094,-1.9429E-16,-4.5103E-17,0,0,0,0.14684,0.00029453,-9.7583E-20,1.0674E-19,0.00016408,2.1925E-20,0.00016408,0,0,0,0,0,0,package://stee_new/meshes/L_F_wheel_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://stee_new/meshes/L_F_wheel_Link.STL,,u8直驱舵轮-1/u8轮子轮毂-1;u8直驱舵轮-1/u8轮子包胶-1,坐标系7,基准轴1,L_F_wheel,continuous,-0.23,0.185,0.0295,0,0,0,base_link,1,0,0,,,,,,,,,,,,
L_B_wheel_Link,-0.0031094,-2.498E-16,-5.2042E-17,0,0,0,0.14684,0.00029453,-6.4277E-20,1.3221E-19,0.00016408,6.0191E-21,0.00016408,0,0,0,0,0,0,package://stee_new/meshes/L_B_wheel_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://stee_new/meshes/L_B_wheel_Link.STL,,u8直驱舵轮-5/u8轮子轮毂-1;u8直驱舵轮-5/u8轮子包胶-1,坐标系8,基准轴2,L_B_wheel,continuous,-0.23,-0.185,0.0295,0,0,0,base_link,1,0,0,,,,,,,,,,,,
R_F_wheel_Link,0.0031094,1.6653E-16,-5.2042E-17,0,0,0,0.14684,0.00029453,-6.0097E-20,-1.338E-19,0.00016408,-2.4027E-20,0.00016408,0,0,0,0,0,0,package://stee_new/meshes/R_F_wheel_Link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://stee_new/meshes/R_F_wheel_Link.STL,,u8直驱舵轮-4/u8轮子包胶-1;u8直驱舵轮-4/u8轮子轮毂-1,坐标系9,基准轴3,R_F_wheel,continuous,0.23,0.185,0.0295,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
R_B_wheel_Link,-0.001729,1.4003E-10,4.1476E-10,0,0,0,0.093341,0.00013694,-1.3659E-13,-1.6812E-13,7.4816E-05,3.5347E-10,7.4817E-05,0,0,0,0,0,0,package://stee_new/meshes/R_B_wheel_Link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://stee_new/meshes/R_B_wheel_Link.STL,,u8直驱舵轮-3/u8轮子包胶-1;u8直驱舵轮-3/Tmotor U8 Lite L KV110-1,坐标系10,基准轴4,R_B_wheel,continuous,0.23,-0.185,0.0295,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
L_F_ST_Link,-0.001288,0.00044576,0.055763,0,0,0,0.28023,0.0011051,4.9518E-20,1.6272E-18,0.00104,-7.7843E-06,6.631E-05,0,0,0,0,0,0,package://stee_new/meshes/L_F_ST_Link.STL,1,1,1,1,0,0,0,0,0,0,package://stee_new/meshes/L_F_ST_Link.STL,,撑杆-1/新脚撑-1;撑杆-1/新脚撑-2;撑杆-1/三角撑轴承外挡圈-1;撑杆-1/三角撑电机连接-1;撑杆-1/三角撑轴承内挡圈-1;撑杆-1/内35外47薄壁轴承-1;撑杆-1/撑杆原点-1,坐标系11,基准轴5,L_F_ST,continuous,-0.124,0.22,0.0535,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
L_F_S_wheel_Link,0,2.7756E-17,5.5511E-17,0,0,0,0.0012284,6.28E-08,-1.058E-23,5.0538E-23,3.3038E-08,-1.9009E-26,3.3038E-08,0,0,0,0,0,0,package://stee_new/meshes/L_F_S_wheel_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stee_new/meshes/L_F_S_wheel_Link.STL,,撑杆-1/标准小轮子-1,坐标系15,基准轴9,L_F_S_wheel,continuous,0,0.0021583,0.26999,0,0,0,L_F_ST_Link,-1,0,0,,,,,,,,,,,,
L_B_ST_Link,-0.001288,8.3101E-05,0.055764,0,0,0,0.28023,0.0011051,-1.3052E-20,1.6788E-18,0.0010401,-1.4512E-06,6.625E-05,0,0,0,0,0,0,package://stee_new/meshes/L_B_ST_Link.STL,1,1,1,1,0,0,0,0,0,0,package://stee_new/meshes/L_B_ST_Link.STL,,撑杆-12/撑杆原点-1;撑杆-12/新脚撑-1;撑杆-12/新脚撑-2;撑杆-12/三角撑轴承外挡圈-1;撑杆-12/三角撑电机连接-1;撑杆-12/三角撑轴承内挡圈-1;撑杆-12/内35外47薄壁轴承-1,坐标系12,基准轴6,L_B_ST,continuous,-0.124,-0.22,0.0535,0,0,0,base_link,1,0,0,,,,,,,,,,,,
L_B_S_wheel_Link,-1.3878E-17,-2.7756E-17,5.5511E-17,0,0,0,0.0012284,6.28E-08,-1.0565E-23,5.1286E-23,3.3038E-08,-2.4326E-26,3.3038E-08,0,0,0,0,0,0,package://stee_new/meshes/L_B_S_wheel_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stee_new/meshes/L_B_S_wheel_Link.STL,,撑杆-12/标准小轮子-1,坐标系16,基准轴10,L_B_S_wheel,continuous,0,0.00040236,0.27,0,0,0,L_B_ST_Link,-1,0,0,,,,,,,,,,,,
R_F_ST_Link,0.001288,0.00044576,0.055763,0,0,0,0.28023,0.0011051,-4.2243E-22,-2.9525E-20,0.00104,-7.7843E-06,6.631E-05,0,0,0,0,0,0,package://stee_new/meshes/R_F_ST_Link.STL,1,1,1,1,0,0,0,0,0,0,package://stee_new/meshes/R_F_ST_Link.STL,,撑杆-13/撑杆原点-1;撑杆-13/新脚撑-1;撑杆-13/新脚撑-2;撑杆-13/三角撑轴承外挡圈-1;撑杆-13/三角撑电机连接-1;撑杆-13/三角撑轴承内挡圈-1;撑杆-13/内35外47薄壁轴承-1,坐标系13,基准轴7,R_F_ST,continuous,0.124,0.22,0.0535,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
