Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00379064387309337,-0.0291020965539023,0.253749437559756,0,0,0,14.5660223494718,0.0750391320286282,1.19976113983499E-05,-2.31872165746839E-05,0.0884241949762676,0.00374287067138457,0.135755295578756,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/base_link.STL,,整车框架^AAA总装-1;风暴总装-1;线抬升总装-R-1;抬升驱动^AAA总装-1;三角撑轴承内挡圈-1;3508减速机装配体ereal-1;3508减速机装配体ereal-3;3508减速机装配体ereal-4;3508减速机装配体ereal-5;KA0XP0系列薄壁轴承-1,坐标系9,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L_F_W_Link,-0.0018748,-1.957E-10,3.0517E-11,0,0,0,0.20474,0.00031536,-2.1224E-13,-4.3282E-14,0.00017615,-4.7786E-10,0.00017614,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/L_F_W_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/L_F_W_Link.STL,,u8直驱舵轮-1,坐标系1,基准轴1,base2L_F_W_Link,continuous,-0.22765,0.1894,0.02964,0,0,0,base_link,1,0,0,,,,,,,,,,,,
L_B_W_Link,-0.0018748,-1.9128E-10,5.1851E-11,0,0,0,0.20474,0.00031536,-2.1571E-13,-1.9731E-14,0.00017615,-6.3302E-10,0.00017615,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/L_B_W_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/L_B_W_Link.STL,,u8直驱舵轮-2,坐标系2,基准轴2,base2L_B_W_Link,continuous,-0.22765,-0.18826,0.02964,0,0,0,base_link,1,0,0,,,,,,,,,,,,
R_F_W_Link,-0.00187479075409827,-1.95699678684491E-10,3.05170645698016E-11,0,0,0,0.2047432331618,0.000315362334766743,-2.12238388591583E-13,-4.32816140724435E-14,0.000176146463533313,-4.77864297967598E-10,0.000176144935585536,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/R_F_W_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/R_F_W_Link.STL,,u8直驱舵轮-3,坐标系3,基准轴3,base2R_F_W_Link,continuous,0.22765,0.1894,0.02964,0,0,0,base_link,1,0,0,,,,,,,,,,,,
R_B_W_Link,-0.00187479075411312,-1.91278548555829E-10,5.18504891799942E-11,0,0,0,0.204743233161155,0.000315362334766726,-2.15706763411743E-13,-1.97307278691685E-14,0.000176146340885705,-6.33017362908801E-10,0.000176145058233087,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/R_B_W_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/R_B_W_Link.STL,,u8直驱舵轮-4,坐标系4,基准轴4,base2R_B_W_Link,continuous,0.22765,-0.18826,0.02964,0,0,0,base_link,1,0,0,,,,,,,,,,,,
L_F_S_Link,0.00104361634505801,-0.00037354079513599,-0.0552952177436176,0,0,0,0.0964448622609274,0.000364314510716357,4.01641789486163E-20,6.81696995769619E-19,0.000353889855493755,-2.31632799532792E-06,1.1019632250929E-05,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/L_F_S_Link.STL,1,1,1,1,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/L_F_S_Link.STL,,撑杆-1/撑杆原点-1;撑杆-1/新脚撑-1;撑杆-1/新脚撑-2;撑杆-1/三角撑轴承外挡圈-1;撑杆-1/三角撑电机连接-1;撑杆-1/内25外32薄壁轴承-1,坐标系5,基准轴5,base2L_F_S_Link,continuous,-0.1276,0.22,0.0535,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
L_F_sW_Link,-8.60422844084496E-16,-2.77555756156289E-17,0,0,0,0,0.000678584013175396,1.98485823853803E-08,-6.14085318538162E-24,1.3397581788759E-23,1.0829069876924E-08,1.31466720117247E-25,1.0829069876924E-08,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/L_F_sW_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/L_F_sW_Link.STL,,撑杆-1/标准小轮子-1,坐标系11,基准轴9,base3L_F_sW_Link,continuous,0,-0.00182391384976394,-0.26999383944503,0,0,0,L_F_S_Link,-1,0,0,,,,,,,,,,,,
L_B_S_Link,0.00104361634505815,-0.000610645150039724,-0.0552931076223831,0,0,0,0.096444862260927,0.000364314510716517,4.12520596189392E-20,3.43652137954245E-19,0.000353863686252314,-3.78646856691212E-06,1.10458014925037E-05,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/L_B_S_Link.STL,1,1,1,1,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/L_B_S_Link.STL,,撑杆-5/撑杆原点-1;撑杆-5/新脚撑-1;撑杆-5/新脚撑-2;撑杆-5/三角撑轴承外挡圈-1;撑杆-5/三角撑电机连接-1;撑杆-5/内25外32薄壁轴承-1,坐标系6,基准轴6,base2L_B_S_Link,continuous,-0.1276,-0.22,0.0535,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
L_B_sW_Link,-8.32667268468867E-16,-2.77555756156289E-17,2.77555756156289E-17,0,0,0,0.000678584013175396,1.98485823853803E-08,-5.17475777298972E-26,-1.04096471623317E-25,1.0829069876924E-08,-2.9720997247362E-25,1.0829069876924E-08,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/L_B_sW_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/L_B_sW_Link.STL,,撑杆-5/标准小轮子-1,坐标系12,基准轴10,base3L_B_sW_Link,continuous,0,-0.00298163991979752,-0.269983536208023,0,0,0,L_B_S_Link,-1,0,0,,,,,,,,,,,,
R_F_S_Link,-0.00104361634505881,0.000242848153632458,-0.0552959461698061,0,0,0,0.0964448622609276,0.000364314510716486,-1.74826101896979E-21,-1.62601093484205E-19,0.000353898889500792,1.50592222981448E-06,1.10105982439404E-05,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/R_F_S_Link.STL,1,1,1,1,0,0,0,0,0,0,package://steering_wheel_chassis/meshes/R_F_S_Link.STL,,撑杆-10/撑杆原点-1;撑杆-10/新脚撑-1;撑杆-10/新脚撑-2;撑杆-10/三角撑轴承外挡圈-1;撑杆-10/三角撑电机连接-1;撑杆-10/内25外32薄壁轴承-1,坐标系7,基准轴7,base2R_F_S_Link,continuous,0.1276,0.22,0.0535,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
