Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,6.025,7.59901863606395,0.159497471230316,0,0,0,32830.9811175371,41297.6713371606,-2.50785933512626E-11,-7.99909194612046E-13,65334.3271755097,-266.198195272754,105720.894307686,0,0,0,0,0,0,package://zwei/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://zwei/meshes/base_link.STL,,zwei,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,3.025,0.0899299276190646,2.1,0,0,0,2300.00896,283.290308175557,6.85401140947789E-15,1.6649606738741E-14,551.233941162667,3.39786615074972E-15,283.290308175557,0,0,0,0,0,0,package://zwei/meshes/Link1.STL,0.16078431372549,0.32156862745098,0.0627450980392157,1,0,0,0,0,0,0,package://zwei/meshes/Link1.STL,,200mm梅花桩-1;200mm梅花桩-2;200mm梅花桩-3;200mm梅花桩-4;200mm梅花桩-5;200mm梅花桩-6;200mm梅花桩-7;200mm梅花桩-8,Origin_ink1,Axis_ink1,ink1,fixed,9.05,3.8,0.00980000000000023,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
Link2,4.225,0.189929927619065,1.6,0,0,0,6900.02688,918.871193326671,-1.58382749771503E-14,-8.56900881089812E-15,1653.701823488,-3.38855738196597E-14,918.87119332667,0,0,0,0,0,0,package://zwei/meshes/Link2.STL,0.164705882352941,0.443137254901961,0.219607843137255,1,0,0,0,0,0,0,package://zwei/meshes/Link2.STL,,400mm梅花桩-1;400mm梅花桩-2;400mm梅花桩-3;400mm梅花桩-4;400mm梅花桩-5;400mm梅花桩-6;400mm梅花桩-7;400mm梅花桩-8;400mm梅花桩-9;400mm梅花桩-10;400mm梅花桩-11;400mm梅花桩-12,Origin_ink2,Axis_ink2,ink2,fixed,10.25,3.8,0.00980000000000023,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
Link3,1.825,0.289929927619065,0.6,0,0,0,3450.01344,516.935820663336,1.79481572017276E-15,4.28090451542323E-14,826.850911744001,-1.97300854240976E-14,516.935820663336,0,0,0,0,0,0,package://zwei/meshes/Link3.STL,0.596078431372549,0.650980392156863,0.313725490196078,1,0,0,0,0,0,0,package://zwei/meshes/Link3.STL,,600mm梅花桩-1;600mm梅花桩-2;600mm梅花桩-3;600mm梅花桩-4,Origin_ink3,Axis_ink3,ink3,fixed,7.85,5,0.00980000000000031,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
Link4,-2.71653146810334,0.210989959593486,0.0575670380800792,0,0,0,6125.25,3425.2331149175,-57.0341020647116,1249.75282895341,19504.160145407,-10.2293028728419,16291.1884747545,0,0,0,0,0,0,package://zwei/meshes/Link4.STL,0.996078431372549,0.729411764705882,0.63921568627451,1,0,0,0,0,0,0,package://zwei/meshes/Link4.STL,,三区-红-1,Origin_ink4,Axis_ink4,ink4,fixed,6.025,10.75,-0.0401999999999993,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
Link5,2.71653146810334,0.210989959593486,0.0575670380800783,0,0,0,6125.25,3425.2331149175,57.0341020647116,-1249.75282895341,19504.160145407,-10.2293028728418,16291.1884747545,0,0,0,0,0,0,package://zwei/meshes/Link5.STL,0.505882352941176,0.823529411764706,0.83921568627451,1,0,0,0,0,0,0,package://zwei/meshes/Link5.STL,,三区-蓝-1,Origin_ink5,Axis_ink5,ink5,fixed,6.025,10.75,-0.0401999999999993,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
Link6,-4.525,0.123333333333334,-1,0,0,0,900,120.5,-3.21502084214368E-14,-5.20417042793042E-15,281.25,15,176.75,0,0,0,0,0,0,package://zwei/meshes/Link6.STL,0.752941176470588,0.741176470588235,0.713725490196078,1,0,0,0,0,0,0,package://zwei/meshes/Link6.STL,,斜坡-1;斜坡-2,Origin_ink6,Axis_ink6,ink6,fixed,10.55,9.3,0.00980000000000057,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
Link7,-1.775,-0.00990000000000002,8.88178419700125E-16,0,0,0,0.17999999999998,0.00135000059999985,-1.37753244236987E-37,7.73252989416785E-19,0.0350999999999961,-8.27180612553027E-23,0.0337500005999963,0,0,0,0,0,0,package://zwei/meshes/Link7.STL,1,1,0,1,0,0,0,0,0,0,package://zwei/meshes/Link7.STL,,武器存放区-1;武器存放区-2,Origin_ink7,Axis_ink7,ink7,fixed,4.25,9.65,0.409800000000001,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
Link8,-2.04979445341204E-14,0.0499999999999999,0.137990936555892,0,0,0,49.6499999999993,0.247721073498422,4.37682485740497E-15,1.48671816970222E-14,309.047939823494,-3.24120087816394E-17,308.882968749995,0,0,0,0,0,0,package://zwei/meshes/Link8.STL,0.392156862745098,0.243137254901961,0,1,0,0,0,0,0,0,package://zwei/meshes/Link8.STL,,高台栅栏-1,Origin_ink8,Axis_ink8,ink8,fixed,6.025,9.45,0.399800000000001,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
Link9,0.993939393939435,-0.258384848484859,-6.85757575757604,0,0,0,0.527999999999978,0.0401600017599982,1.76465197344646E-22,-2.56068314700523E-19,0.0803199999999963,8.82325986723231E-23,0.0401600017599982,0,0,0,0,0,0,package://zwei/meshes/Link9.STL,0.874509803921569,0.133333333333333,0.133333333333333,1,0,0,0,0,0,0,package://zwei/meshes/Link9.STL,,R1启动区-红-2;R1启动区-红-1;R2启动区-红-1,Origin_ink9,Axis_ink9,ink9,fixed,11.55,11.5,0.409800000000001,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
